X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-0.0115600000,0.0000010000
746,-0.400000,-0.021600,,
747,-0.400000,-0.022800,,
748,-0.560000,-0.021600,,
749,-0.400000,-0.022400,,
750,-0.400000,-0.024800,,
751,-0.400000,-0.023600,,
752,-0.560000,-0.022400,,
753,-0.400000,-0.021600,,
754,-0.560000,-0.023600,,
755,-0.560000,-0.022800,,
756,-0.560000,-0.021600,,
757,-0.560000,-0.022800,,
758,-0.560000,-0.021200,,
759,-0.560000,-0.022800,,
760,-0.560000,-0.021200,,
761,-0.560000,-0.022400,,
762,-0.560000,-0.022400,,
763,-0.560000,-0.021200,,
764,-0.560000,-0.023600,,
765,-0.560000,-0.024000,,
766,-0.560000,-0.024000,,
767,-0.560000,-0.021200,,
768,-0.560000,-0.021600,,
769,-0.560000,-0.024000,,
770,-0.560000,-0.022800,,
771,-0.560000,-0.023600,,
772,-0.560000,-0.024000,,
773,-0.560000,-0.024000,,
774,-0.560000,-0.022800,,
775,-0.560000,-0.024000,,
776,-0.560000,-0.024800,,
777,-0.560000,-0.021600,,
778,-0.560000,-0.022400,,
779,-0.560000,-0.026000,,
780,-0.560000,-0.025200,,
781,-0.560000,-0.024000,,
782,-0.560000,-0.023600,,
783,-0.560000,-0.024800,,
784,-0.560000,-0.024000,,
785,-0.560000,-0.023600,,
786,-0.560000,-0.026000,,
787,-0.560000,-0.022800,,
788,-0.560000,-0.021600,,
789,-0.560000,-0.023600,,
790,-0.560000,-0.024000,,
791,-0.560000,-0.024000,,
792,-0.560000,-0.023600,,
793,-0.560000,-0.022800,,
794,-0.560000,-0.023600,,
795,-0.560000,-0.022800,,
796,-0.560000,-0.022400,,
797,-0.560000,-0.022800,,
798,-0.560000,-0.024800,,
799,-0.560000,-0.025200,,
800,-0.560000,-0.024800,,
801,-0.560000,-0.025200,,
802,-0.560000,-0.024000,,
803,-0.560000,-0.024000,,
804,-0.560000,-0.026000,,
805,-0.560000,-0.026400,,
806,-0.560000,-0.024800,,
807,-0.560000,-0.022800,,
808,-0.560000,-0.025200,,
809,-0.560000,-0.025200,,
810,-0.560000,-0.023600,,
811,-0.560000,-0.026000,,
812,-0.560000,-0.023600,,
813,-0.560000,-0.023600,,
814,-0.560000,-0.024800,,
815,-0.560000,-0.024000,,
816,-0.560000,-0.022800,,
817,-0.560000,-0.021600,,
818,-0.560000,-0.024800,,
819,-0.560000,-0.024000,,
820,-0.560000,-0.022800,,
821,-0.560000,-0.024000,,
822,-0.560000,-0.024000,,
823,-0.560000,-0.024800,,
824,-0.560000,-0.026000,,
825,-0.640000,-0.026000,,
826,-0.560000,-0.024000,,
827,-0.640000,-0.022800,,
828,-0.640000,-0.024800,,
829,-0.640000,-0.026000,,
830,-0.640000,-0.024800,,
831,-0.640000,-0.024800,,
832,-0.640000,-0.024000,,
833,-0.640000,-0.024000,,
834,-0.640000,-0.026400,,
835,-0.640000,-0.025200,,
836,-0.640000,-0.025200,,
837,-0.640000,-0.024000,,
838,-0.640000,-0.024800,,
839,-0.640000,-0.024800,,
840,-0.640000,-0.025200,,
841,-0.640000,-0.026000,,
842,-0.640000,-0.023600,,
843,-0.640000,-0.026000,,
844,-0.640000,-0.026400,,
845,-0.640000,-0.025200,,
846,-0.640000,-0.026000,,
847,-0.640000,-0.024800,,
848,-0.640000,-0.026400,,
849,-0.640000,-0.024800,,
850,-0.640000,-0.026400,,
851,-0.640000,-0.026000,,
852,-0.640000,-0.023600,,
853,-0.640000,-0.026400,,
854,-0.640000,-0.026400,,
855,-0.640000,-0.027600,,
856,-0.640000,-0.024800,,
857,-0.640000,-0.024800,,
858,-0.640000,-0.024800,,
859,-0.640000,-0.026400,,
860,-0.640000,-0.026400,,
861,-0.640000,-0.026400,,
862,-0.640000,-0.026000,,
863,-0.640000,-0.024800,,
864,-0.640000,-0.025200,,
865,-0.640000,-0.024000,,
866,-0.640000,-0.026000,,
867,-0.640000,-0.023600,,
868,-0.640000,-0.025200,,
869,-0.640000,-0.027200,,
870,-0.640000,-0.024800,,
871,-0.640000,-0.024000,,
872,-0.640000,-0.023600,,
873,-0.640000,-0.026000,,
874,-0.640000,-0.024000,,
875,-0.640000,-0.027200,,
876,-0.640000,-0.026400,,
877,-0.640000,-0.022800,,
878,-0.640000,-0.025200,,
879,-0.640000,-0.025200,,
880,-0.640000,-0.026400,,
881,-0.640000,-0.026000,,
882,-0.640000,-0.026000,,
883,-0.640000,-0.026000,,
884,-0.640000,-0.024800,,
885,-0.640000,-0.027200,,
